species,patch,core,internal,external,neighborhood
Achilea_millefoliium,G,0,0,0.599,3.937
Achilea_millefoliium,H,0,0,0.926,0.51
Achilea_millefoliium,I,0,0,0.787,0.541
Aegopodium_podagraria,K,0,0,7.143,9.036
Aethusa_cynapium,K,0,0,0,6.024
Agrimonia_eupatoria,A,0,0,0,2.577
Agrimonia_eupatoria,C,0,0,1.695,0.714
Agrostis_stolonifera,A,0,0,0,2.577
Agrostis_stolonifera,B,0,0,6.757,8.523
Agrostis_stolonifera,C,0,1.786,8.475,10.714
Agrostis_stolonifera,I,0.667,0.68,3.937,2.703
Agrostis_stolonifera,K,0.719,1.852,7.143,0.602
Agrostis_vulgaris,C,0,0,0,3.571
Agrostis_vulgaris,G,0,0,0.599,3.937
Agrostis_vulgaris,H,0,0.943,4.63,2.551
Agrostis_vulgaris,K,0,0,7.143,0.602
Alliaria_petiolata,K,0.719,1.852,1.429,1.205
Alnus_glutinosa,G,4.274,12,8.982,0
Alnus_glutinosa,K,0,0,2.857,3.012
Andryala_integrifolia,H,0,0,0.926,2.551
Angelica_sylvestris,I,0.667,0.68,0,0
Angelica_sylvestris,K,0,0,1.429,3.012
Anthyllis_vulneraria,L,0.625,0.654,0.645,0.562
Arrhenatherum_elatius,A,0,0,0.455,7.732
Arrhenatherum_elatius,C,0,0,1.695,14.286
Arrhenatherum_elatius,D,0,1.471,13.514,6.135
Arrhenatherum_elatius,E,0,0.758,3.788,11.765
Arrhenatherum_elatius,F,0,0.952,19.737,22.222
Arrhenatherum_elatius,I,0,0.68,3.937,10.811
Arum_italicum,A,0.855,0,0,0.515
Arum_italicum,C,0.952,0,0,0.714
Arum_italicum,D,1.01,0,0,0
Avena_fatua,D,0,0,0,3.067
Avena_fatua,G,0,0,0.599,0.787
Bellis_perennis,B,0,0,1.351,2.841
Bellis_perennis,D,0,0,0,3.067
Bellis_perennis,E,0,0,0.758,2.941
Bellis_perennis,F,0,0,1.316,2.778
Bellis_perennis,H,0,0,0.926,0.51
Bellis_perennis,I,0,0.68,3.937,2.703
Bellis_perennis,L,0.625,0.654,3.226,2.809
Betula_pendula,L,0.625,0.654,0.645,0.562
Brachypodium_rupestre,L,0.625,3.268,3.226,0.562
Brachypodium_sylvaticum,A,0.855,0.758,4.545,10.309
Brachypodium_sylvaticum,B,0.794,0.685,6.757,5.682
Brachypodium_sylvaticum,C,0,1.786,1.695,10.714
Brachypodium_sylvaticum,D,0,0,2.703,0
Brachypodium_sylvaticum,E,0,3.788,11.364,2.941
Brachypodium_sylvaticum,H,0.99,4.717,4.63,2.551
Brachypodium_sylvaticum,I,0.667,0.68,3.937,2.703
Brachypodium_sylvaticum,J,0.877,0.98,0.775,2.941
Bromus_hordeaceus,C,0,1.786,0,0.714
Bromus_sterilis,H,0,0.943,0.926,2.551
Buddleja_davidii,C,4.762,0,0,0
Buddleja_davidii,D,95.96,44.118,0,0
Buddleja_davidii,K,68.345,37.037,0,0
Buddleja_davidii,G,0,0,2.994,0
Buddleja_davidii,K,3.597,9.259,7.143,3.012
Campanula_persicifolia,I,0,0.68,0,0.541
Carex_caryophyllea,B,0,0,0,2.841
Carex_caryophyllea,E,0,0,0,2.941
Carex_divulsa,I,0.667,0.68,0.787,2.703
Carex_flacca,J,0,0.98,3.876,0.588
Carex_flacca,L,0.625,3.268,3.226,2.809
Carex_pallescens,E,0,0,0.758,2.941
Carex_pallescens,L,0,0.654,0.645,0
Carex_pendula,A,0,0,2.273,5.155
Carex_pendula,C,0,0,8.475,3.571
Carex_vulpina,A,0,0,2.273,0.515
Catapodium_rigidum,G,0,0,0.599,0.787
Catapodium_rigidum,H,0,0,0.926,0.51
Centaurea_decipiens,H,0,0.943,0.926,0.51
Centaurea_jacea,H,0,0,0.926,0.51
Centaurium_pulchellum,L,0.625,0.654,0.645,0.562
Chenopodium_album,H,0,0,0.926,0.51
Cirsium_arvense,A,4.274,45.455,31.818,0.515
Cirsium_arvense,H,0,0,0.926,2.551
Cirsium_arvense,J,0.877,0.98,0.775,0
Cirsium_vulgare,D,0,0,2.703,0.613
Convolvuluis_sepium,A,0.855,3.788,2.273,0.515
Convolvuluis_sepium,B,0.794,0.685,0,0
Convolvuluis_sepium,D,0,0,13.514,0.613
Convolvuluis_sepium,E,0.952,0.758,3.788,0.588
Convolvuluis_sepium,G,0,0,2.994,0.787
Convolvuluis_sepium,I,0.667,3.401,11.811,0
Convolvuluis_sepium,J,0.877,0.98,3.876,0.588
Convolvulus_arvensis,B,0,0,1.351,2.841
Convolvulus_arvensis,D,0,0,0,3.067
Convolvulus_arvensis,E,0,0,0.758,2.941
Convolvulus_arvensis,K,0,1.852,1.429,0.602
Corylus_avellana,A,0,0,0,2.577
Corylus_avellana,B,0,0,0,8.523
Crepis_taraxacifolia,H,0,0,0.926,0.51
Crepis_taraxacifolia,K,0,1.852,1.429,0.602
Cynosurus_cristatus,J,0,0.98,0.775,0.588
Cynosurus_cristatus,L,0,0.654,0.645,0.562
Cyperus_longus,I,0,0,0.787,2.703
Dactylis_glomerata,A,0,3.788,4.545,2.577
Dactylis_glomerata,B,0,0,1.351,5.682
Dactylis_glomerata,C,0,1.786,1.695,7.143
Dactylis_glomerata,E,0,0,0.758,2.941
Dactylis_glomerata,F,0,0,1.316,2.778
Dactylis_glomerata,H,0,0,0.926,0.51
Dactylis_glomerata,I,0,0.68,3.937,8.108
Dactylis_glomerata,L,6.25,6.536,6.452,14.045
Daucus_carota,D,0,0,0,3.067
Daucus_carota,G,0,0,0.599,0.787
Daucus_carota,H,0,0,0.926,2.041
Daucus_carota,K,0,0,1.429,3.012
Dianthus_armeria,H,0,0.943,4.63,2.551
Digitaria_ischaemum,K,0,0,1.429,0.602
Digitaria_sanguinalis,H,0,0,0.926,0.51
Dioscorea_communis,L,0,0,0.645,0.562
Dipsacus_fullonum,H,0,0,0.926,0.51
Elytrigia_repens,H,0,0,0.926,0.51
Epilobium_tetragonum,J,0,0.98,0.775,0.588
Equisetum_arvense,E,0,0,7.576,5.882
Equisetum_temateia,A,0.855,0.758,2.273,0.515
Equisetum_temateia,C,0.952,8.929,33.898,7.143
Erica_tetralix,L,0.625,0.654,0.645,2.809
Erigeron_annuus,G,0,0,0,1.575
Erigeron_annuus,H,0,0.943,4.63,2.551
Erigeron_canadensis,G,0,0,0.599,0.787
Erigeron_canadensis,K,0,1.852,1.429,0.602
Erigeron_karvinskianus,H,0,0,4.63,2.551
Eryngium_campestris,H,0,0,0.926,2.551
Eupatorium_cannabinum,A,0.855,0.758,0.455,0.515
Eupatorium_cannabinum,D,0,7.353,0,0
Eupatorium_cannabinum,E,0,0,0.758,2.941
Eupatorium_cannabinum,I,0.667,0.68,7.874,0
Eupatorium_cannabinum,J,0.877,0.98,0.775,2.941
Eupatorium_cannabinum,K,0,0,1.429,3.012
Reynoutria_japonica,B,27.778,13.699,0,0
Reynoutria_japonica,E,95.238,60.606,0,0
Reynoutria_japonica,F,19.417,9.524,13.158,2.778
Reynoutria_japonica,H,94.059,75.472,0,0
Reynoutria_japonica,I,60,57.823,0,0
Reynoutria_japonica,E,0,0,3.788,0.588
Reynoutria_japonica,F,0,0,1.316,0.556
Reynoutria_japonica,I,0,0,3.937,0.541
Reynoutria_japonica,J,0,0.98,0.775,2.941
Festuca_nigrescens,L,0.625,3.268,3.226,2.809
Festuca_rubra,H,0,0,0.926,0.51
Festuca_rubra,L,0.625,0.654,0.645,0
Festuca_sp.,L,0,0.654,0.645,0.562
Filipendula_ulmaria,A,0,0,2.273,2.577
Filipendula_ulmaria,C,0,0,1.695,0
Filipendula_ulmaria,D,0,0,2.703,3.067
Filipendula_ulmaria,E,0,0.758,11.364,0.588
Filipendula_ulmaria,G,0.855,4,2.994,3.937
Filipendula_ulmaria,I,0,0.68,0.787,0.541
Fraxinus_excelsior,A,0,0,0,7.732
Fraxinus_excelsior,A,0.855,0.758,2.273,0.515
Fraxinus_excelsior,B,3.968,0,0,8.523
Fraxinus_excelsior,G,4.274,0,0,0
Fraxinus_excelsior,I,20,6.803,0,5.405
Fraxinus_excelsior,J,0,0,0,17.647
Fraxinus_excelsior,J,0.877,0.98,0,0
Fraxinus_excelsior,K,0,0,0,6.024
Fraxinus_excelsior,K,0,1.852,1.429,0.602
Galium_album,E,0,0,0,2.941
Galium_album,F,0,0,6.579,2.778
Galium_aparine,A,0.855,3.788,4.545,2.577
Galium_aparine,G,0.855,0.8,0,0
Geranium_columbinum,F,0,0,0,2.778
Geranium_molle,H,0,0,0.926,0.51
Geranium_robertianum,A,0,0.758,2.273,2.577
Geranium_robertianum,C,0,0,1.695,0.714
Geranium_robertianum,G,0.855,0.8,0,0
Geranium_robertianum,H,0,0.943,0.926,0
Geranium_robertianum,I,0,0.68,0.787,0
Geranium_robertianum,K,0.719,9.259,1.429,0.602
Glechoma_hederacea,A,0,0,0.455,2.577
Glechoma_hederacea,F,0,0.952,6.579,5.556
Helianthemum_nummularium,L,0.625,0.654,0.645,0.562
Helminthia_echioides,D,0,0,0,6.135
Helminthia_echioides,E,0,0,11.364,8.824
Helminthia_echioides,F,0,0.952,6.579,0.556
Helminthia_echioides,I,0,0,3.937,5.405
Hesperis_matronalis,H,0,0.943,0.926,2.551
Holcus_lanatus,A,0,0,2.273,5.155
Holcus_lanatus,H,0,0,0.926,0.51
Holcus_lanatus,J,0,0.98,0.775,0
Holcus_mollis,C,0,0,8.475,0.714
Holcus_mollis,K,0,0,1.429,3.012
Holcus_mollis,L,0.625,0.654,0.645,2.809
Humulus_lupulus,A,0.855,3.788,2.273,0
Hypericum_perforatum,G,0,0,2.994,0
Hypericum_perforatum,H,0,0,0.926,0.51
Hypericum_perforatum,I,0,0.68,0,0.541
Hypericum_perforatum,K,0.719,0,1.429,0
Hypochaeris_radicata,K,0,0,1.429,0.602
Hypochaeris_radicata,L,0,0,0.645,0.562
Impatiens_glandulifera,A,76.923,7.576,2.273,0.515
Impatiens_glandulifera,B,55.556,54.795,6.757,0
Impatiens_glandulifera,C,85.714,71.429,3.39,0.714
Impatiens_glandulifera,D,0,22.059,40.541,0.613
Impatiens_glandulifera,E,0.952,15.152,7.576,0.588
Impatiens_glandulifera,F,77.67,76.19,6.579,0.556
Impatiens_glandulifera,G,59.829,56,35.928,0
Impatiens_glandulifera,H,0,0.943,4.63,0
Impatiens_glandulifera,I,0.667,6.803,0.787,0
Impatiens_glandulifera,J,85.965,39.216,0.775,0
Jacobaea_vulgaris,E,0,0,3.788,0.588
Juglans_regia,A,0.855,0,0.455,0
Lamium_maculatum,A,0,0.758,2.273,2.577
Lamium_purpureum,H,0,0,0.926,0.51
Lapsana_communis,D,0,0,0,3.067
Lapsana_communis,H,0,0,0.926,0.51
Lapsana_communis,K,0,0,1.429,6.024
Lathyrus_pratensis,B,0,0.685,1.351,0.568
Lathyrus_pratensis,L,0.625,0.654,0.645,0.562
Leontodon_hispidus,L,0.625,0.654,0.645,0.562
Leucanthemum_vulgare,L,0.625,0.654,3.226,2.809
Leucanthemum_vulgare,L,0.625,0.654,3.226,2.809
Lolium_perenne,B,0,0,0,8.523
Lolium_perenne,D,0,0,0,3.067
Lolium_perenne,G,0,0,0.599,39.37
Lolium_perenne,I,0,6.803,11.811,0.541
Lotus_corniculatus,D,0,0,0,3.067
Lotus_corniculatus,E,0,0,3.788,2.941
Lotus_corniculatus,F,0,0,0,2.778
Lotus_corniculatus,K,0,0,1.429,0.602
Lysimachia_arvensis,K,0,1.852,1.429,0.602
Malva_alcea,D,0,1.471,2.703,0
Malva_sylvestris,G,0,0,0.599,0.787
Malva_sylvestris,H,0,0,0.926,2.551
Medicago_arabica,H,0,0,0.926,2.551
Medicago_lupulina,H,0,0.943,0.926,0.51
Mentha_suaveolens,F,0,0,0,2.778
Mentha_suaveolens,H,0,0,0.926,0.51
Mentha_suaveolens,I,0,0,0.787,5.405
Mentha_suaveolens,K,0,0,0,3.012
Myosotis_arvensis,K,0.719,1.852,1.429,0.602
Myosotis_scorpioides,J,0.877,0.98,0,0
Onopordon_acanthium,H,0,0,0,2.551
Origanum_vulgare,E,0,0,0,5.882
Origanum_vulgare,K,0,0,1.429,3.012
Pastinaca_sativa,H,0,0.943,4.63,2.551
Phalaris_arundinacea,A,0.855,0.758,2.273,7.732
Phalaris_arundinacea,G,0.855,0.8,0,0
Phalaris_arundinacea,I,0.667,0,0.787,0
Phalaris_arundinacea,J,0.877,4.902,0.775,0.588
Pilosella_vulgaris,L,0,0.654,0.645,0.562
Plantago_lanceolata,B,0,0,1.351,2.841
Plantago_lanceolata,D,0,0,2.703,6.135
Plantago_lanceolata,E,0,0.758,3.788,11.765
Plantago_lanceolata,F,0,0,0,2.778
Plantago_lanceolata,G,0,0,0,23.622
Plantago_lanceolata,I,0,0,0,5.405
Plantago_major,D,0,0,0,12.27
Plantago_major,K,0,1.852,1.429,0.602
Poa_annua,B,0,0,0,2.841
Poa_annua,F,0.971,0,1.316,0.556
Poa_annua,H,0,0,0.926,0.51
Poa_annua,I,0,0,3.937,0
Poa_annua,K,0,1.852,1.429,0.602
Poa_trivialis,C,0,0,1.695,14.286
Poa_trivialis,H,0,0,0.926,0.51
Poa_trivialis,I,0,0,0.787,2.703
Poa_trivialis,K,0,0,1.429,3.012
Potentilla_crantzii,L,3.125,0.654,0.645,0.562
Potentilla_erecta,L,0.625,3.268,3.226,2.809
Potentilla_indica,B,0.794,3.425,6.757,2.841
Potentilla_reptans,B,0,0,1.351,2.841
Potentilla_reptans,C,0,0,0,2.857
Potentilla_reptans,D,0,0,0,3.067
Potentilla_reptans,E,0,0.758,3.788,5.882
Potentilla_reptans,F,0,0,0,5.556
Potentilla_reptans,H,0,0.943,4.63,2.551
Potentilla_reptans,I,0,0.68,3.937,0.541
Poterium_sanguisorba,D,0,0,0,3.067
Poterium_sanguisorba,E,0,0,0,2.941
Poterium_sanguisorba,F,0,0,0,5.556
Prunella_vulgaris,L,0,0.654,3.226,2.809
Prunus_cerasifera,A,0,0,0.455,2.577
Prunus_cerasifera,C,0,0,0,3.571
Prunus_spinosa,A,0.855,3.788,2.273,5.155
Pteridium_aquilinum,I,0,0.68,0.787,0.541
Pteridium_aquilinum,L,25,32.68,25.806,22.472
Ranunculus_repens,A,0,0,2.273,5.155
Ranunculus_repens,B,0,0,0,2.841
Ranunculus_repens,G,0,0.8,0.599,0
Ranunculus_repens,I,0,0,0,5.405
Ranunculus_repens,J,0.877,0.98,0.775,0.588
Ranunculus_repens,L,0.625,0.654,0.645,0.562
Rhinanthus_angustifolius,L,0.625,0.654,0.645,2.809
Rubus_caesius,A,4.274,3.788,4.545,7.732
Rubus_caesius,B,0.794,6.849,6.757,5.682
Rubus_caesius,C,0.952,1.786,8.475,3.571
Rubus_caesius,D,1.01,7.353,13.514,6.135
Rubus_caesius,E,0,0.758,7.576,2.941
Rubus_caesius,F,0.971,4.762,6.579,0.556
Rubus_caesius,G,0.855,0.8,2.994,0
Rubus_caesius,H,0.99,0.943,4.63,2.551
Rubus_caesius,I,0.667,0.68,3.937,8.108
Rubus_caesius,K,21.583,18.519,14.286,3.012
Rubus_ulmifolius,A,4.274,11.364,6.818,2.577
Rubus_ulmifolius,B,0.794,3.425,6.757,5.682
Rubus_ulmifolius,C,0.952,8.929,8.475,0.714
Rubus_ulmifolius,D,1.01,7.353,0,0
Rubus_ulmifolius,E,0.952,15.152,0.758,0
Rubus_ulmifolius,G,4.274,0.8,0.599,0
Rubus_ulmifolius,H,0.99,0.943,0,0
Rubus_ulmifolius,I,3.333,3.401,0.787,0.541
Rubus_ulmifolius,J,4.386,19.608,54.264,29.412
Rubus_ulmifolius,L,12.5,6.536,6.452,5.618
Rubus_discolor,H,0.99,0.943,4.63,0.51
Rumex_acetosa,J,0.877,0.98,0.775,0.588
Rumex_obtusifolius,H,0,0,0.926,2.551
Rumex_obtusifolius,I,0,0.68,3.937,2.703
Salix_atrocinera,C,0,0,0,3.571
Salix_atrocinera,E,0,0,3.788,2.941
Salix_atrocinera,I,3.333,0,0,0
Salix_atrocinera,A,0,0,0,2.577
Salix_atrocinera,C,4.762,0,0,0
Salix_atrocinera,J,0.877,0.98,0.775,0
Salix_atrocinera,K,0.719,1.852,1.429,9.036
Sambucus_ebulus,F,0.971,4.762,19.737,0.556
Sambucus_ebulus,G,17.094,16,11.976,0
Sambucus_ebulus,J,0,0.98,0.775,0.588
Sambucus_nigra,I,6.667,0,0,0
Saponaria_officinalis,A,0,3.788,4.545,0.515
Saponaria_officinalis,B,0,0,0,2.841
Saponaria_officinalis,G,4.274,0.8,0,0
Saponaria_officinalis,H,0,0.943,0.926,2.551
Scabiosa_columbaria,E,0,0,3.788,0.588
Scabiosa_columbaria,H,0,0,0.926,0.51
Scabiosa_columbaria,K,0.719,1.852,1.429,0
Schoenodorus_arundinacea,F,0,0,1.316,2.778
Schoenodorus_arundinacea,G,0,0,0,3.937
Sedum_album,G,0,0,0.599,0.787
Sedum_anglicum,G,0,0,0.599,0.787
Senecio_inaequidens,H,0,0,0.926,0.51
Senecio_vulgaris,H,0,0.943,0.926,0.51
Setaria_viridis,K,0,0,1.429,0.602
Silene_alba,H,0,0,0.926,0.51
Solanum_nigrum,I,0,0,3.937,2.703
Spiraea_japonica,K,0.719,1.852,7.143,3.012
Spiraea_japonica,L,37.5,19.608,6.452,0.562
Sporobolus_indicus,B,0,0.685,1.351,2.841
Sporobolus_indicus,D,0,0,0,12.27
Sporobolus_indicus,E,0,0,0.758,5.882
Sporobolus_indicus,F,0,0,0,13.889
Sporobolus_indicus,H,0,0,0,2.551
Sporobolus_indicus,I,0,0,0.787,2.703
Succisa_pratensis,L,0.625,0.654,0.645,0.562
Taraxacum_officinale,D,0,1.471,2.703,3.067
Taraxacum_officinale,H,0,0.943,4.63,2.551
Taraxacum_officinale,I,0,0,0.787,2.703
Taraxacum_officinale,K,0,0,1.429,0.602
Taraxacum_sp.,L,0.625,3.268,3.226,2.809
Thymus_praecox,L,0,0,0.645,0.562
Tragopogon_pratensis,D,0,7.353,0,0
Tragopogon_pratensis,H,0,0,0.926,0.51
Trifolium_hybridum,L,0.625,0.654,0.645,0.562
Trifolium_ochroleucon,L,0.625,0.654,0.645,0.562
Trifolium_pratense,F,0,0,0,2.778
Trifolium_pratense,K,0,0,7.143,0.602
Trifolium_pratense,L,0,0.654,3.226,2.809
Trifolium_repens,B,0,0,0,2.841
Trifolium_repens,F,0,0,0,2.778
Trifolium_repens,H,0,0,4.63,2.551
Trifolium_repens,I,0,0,0,2.703
Trifolium_repens,L,0,0.654,3.226,2.809
Trigonella_alba,F,0,0,0,2.778
Trigonella_alba,H,0,0,0.926,10.204
Tussilago_farfara,K,0,0,1.429,0.602
Ulex_europaeus,L,0.625,0.654,3.226,2.809
Urtica_dioica,A,0.855,3.788,4.545,0.515
Urtica_dioica,B,7.937,13.699,40.541,2.841
Urtica_dioica,C,0.952,1.786,8.475,3.571
Urtica_dioica,D,1.01,0,0,0
Urtica_dioica,E,0,0.758,3.788,0.588
Urtica_dioica,G,0.855,4,8.982,3.937
Urtica_dioica,H,0.99,0.943,4.63,2.551
Urtica_dioica,I,0.667,3.401,3.937,0.541
Urtica_dioica,J,0.877,19.608,23.256,29.412
Valeriana_officinalis,D,0,0,0,6.135
Valeriana_officinalis,F,0,0.952,6.579,0
Verbascum_thapsus,H,0,0,0.926,0.51
Verbena_officinalis,B,0,0,1.351,2.841
Verbena_officinalis,F,0,0,0,2.778
Verbena_officinalis,H,0,0.943,0.926,0.51
Veronica_anagallis,G,0,0.8,0.599,0
Veronica_arvensis,K,0.719,1.852,0,0
Veronica_hederifolia,I,0,0.68,0.787,2.703
Veronica_hederifolia,K,0,0,1.429,0
Veronica_persica,B,0,0.685,1.351,2.841
Veronica_persica,D,0,0,2.703,3.067
Veronica_persica,E,0,0,0,2.941
Veronica_persica,F,0,0.952,1.316,2.778
Veronica_persica,H,0,0.943,0.926,2.551
Veronica_persica,I,0,0,3.937,2.703
Veronica_persica,K,0,0,0,3.012
Vicia_sepium,B,0,0.685,6.757,0.568
Vicia_sepium,L,0.625,0,0.645,0
Vulpia_myuros,H,0,0,0.926,2.551
Vulpia_myuros,K,0,0,1.429,0.602
Wahlenbergia_hederacea,J,0,0.98,0,0.588
Wahlenbergia_hederacea,L,0.625,0.654,0.645,0.562