wl;UV apis;BLUE apis;Green apis
300;0.30000001;0.07689998;0.12500008
301;0.31875001;0.08279677;0.12715572
302;0.33750001;0.08869355;0.12931136
303;0.35625;0.09459033;0.131467
304;0.375;0.10048711;0.13362265
305;0.39375;0.10542701;0.13543604
306;0.41249999;0.1103669;0.13724944
307;0.43124999;0.1153068;0.13906284
308;0.44999999;0.12024669;0.14087623
309;0.46874999;0.12614828;0.14340717
310;0.48749998;0.13204986;0.14593811
311;0.50624998;0.13795144;0.14846904
312;0.52499998;0.14385302;0.15099998
313;0.54374999;0.14888837;0.15229686
314;0.5625;0.15392372;0.15359375
315;0.58125001;0.15895907;0.15489063
316;0.60000002;0.16399442;0.15618752
317;0.61875002;0.1692596;0.15881864
318;0.63750002;0.17452478;0.16144975
319;0.65625002;0.17978996;0.16408087
320;0.67500001;0.18505514;0.16671199
321;0.69375001;0.18929303;0.16833562
322;0.71250001;0.19353093;0.16995926
323;0.73125;0.19776883;0.17158289
324;0.75;0.20200673;0.17320652
325;0.76875;0.207962;0.17437655
326;0.78749999;0.21391727;0.17554658
327;0.80624999;0.21987254;0.17671661
328;0.82499999;0.22582781;0.17788664
329;0.84374999;0.23230745;0.17913964
330;0.86249998;0.23878709;0.18039264
331;0.88124998;0.24526672;0.18164564
332;0.89999998;0.25174636;0.18289864
333;0.91874999;0.25666728;0.18359006
334;0.9375;0.2615882;0.18428148
335;0.95625001;0.26650912;0.18497289
336;0.97500002;0.27143005;0.18566431
337;0.98000002;0.27777727;0.18657456
338;0.98500001;0.28412449;0.18748482
339;0.99000001;0.29047172;0.18839507
340;0.99500001;0.29681894;0.18930532
341;0.99624987;0.29996065;0.18988495
342;0.99749973;0.30310236;0.19046459
343;0.9987496;0.30624407;0.19104422
344;0.99999946;0.30938578;0.19162385
345;0.99774961;0.31380646;0.19232933
346;0.99549976;0.31822714;0.19303481
347;0.99324991;0.32264783;0.19374028
348;0.99100006;0.32706851;0.19444576
349;0.9827501;0.33100133;0.19411764
350;0.97450015;0.33493416;0.19378953
351;0.9662502;0.33886699;0.19346141
352;0.95800024;0.34279981;0.1931333
353;0.93850018;0.34667944;0.1936626
354;0.91900012;0.35055907;0.1941919
355;0.89950006;0.3544387;0.19472121
356;0.88;0.35831833;0.19525051
357;0.86301249;0.36182874;0.19578957
358;0.84602499;0.36533916;0.19632863
359;0.82903749;0.36884958;0.19686768
360;0.81204999;0.37235999;0.19740674
361;0.79168749;0.37562044;0.1978139
362;0.77132499;0.37888089;0.19822106
363;0.7509625;0.38214134;0.19862822
364;0.7306;0.38540179;0.19903538
365;0.71022379;0.38885378;0.19849201
366;0.68984759;0.39230578;0.19794865
367;0.66947138;0.39575777;0.19740529
368;0.64909518;0.39920977;0.19686192
369;0.63372155;0.4032094;0.19645848
370;0.61834791;0.40720902;0.19605503
371;0.60297428;0.41120865;0.19565159
372;0.58760065;0.41520828;0.19524814
373;0.57072841;0.42019291;0.19476781
374;0.55385616;0.42517753;0.19428749
375;0.53698392;0.43016215;0.19380716
376;0.52011168;0.43514678;0.19332683
377;0.50227201;0.44396462;0.1920872
378;0.48443234;0.45278245;0.19084757
379;0.46659267;0.46160029;0.18960794
380;0.448753;0.47041813;0.18836831
381;0.43105882;0.47641348;0.1867521
382;0.41336465;0.48240884;0.18513589
383;0.39567047;0.48840419;0.18351968
384;0.3779763;0.49439955;0.18190347
385;0.36165234;0.50690417;0.17988483
386;0.34532839;0.51940879;0.17786618
387;0.32900444;0.53191342;0.17584754
388;0.31268048;0.54441804;0.1738289
389;0.29857169;0.55739044;0.17272183
390;0.2844629;0.57036284;0.17161477
391;0.27035411;0.58333524;0.1705077
392;0.25624532;0.59630764;0.16940063
393;0.24462949;0.60844557;0.16800583
394;0.23301366;0.6205835;0.16661102
395;0.22139783;0.63272144;0.16521622
396;0.209782;0.64485937;0.16382141
397;0.20050183;0.65875046;0.1630287
398;0.19122165;0.67264155;0.16223598
399;0.18194148;0.68653263;0.16144327
400;0.1726613;0.70042372;0.16065055
401;0.1653056;0.70970374;0.1611103
402;0.1579499;0.71898377;0.16157006
403;0.1505942;0.7282638;0.16202981
404;0.1432385;0.73754382;0.16248956
405;0.13727438;0.7512928;0.16293744
406;0.13131025;0.76504177;0.16338532
407;0.12534613;0.77879074;0.16383319
408;0.119382;0.79253972;0.16428107
409;0.11434245;0.80440483;0.16446937
410;0.1093029;0.81626993;0.16465768
411;0.10426336;0.82813504;0.16484598
412;0.09922381;0.84000015;0.16503428
413;0.09490251;0.85016778;0.16521482
414;0.09058121;0.86033541;0.16539536
415;0.0862599;0.87050304;0.16557591
416;0.0819386;0.88067067;0.16575645
417;0.07838166;0.88909024;0.16634828
418;0.07482471;0.89750981;0.16694011
419;0.07126777;0.90592939;0.16753194
420;0.06771082;0.91434896;0.16812377
421;0.06500156;0.92218363;0.16980766
422;0.0622923;0.93001831;0.17149155
423;0.05958304;0.93785298;0.17317544
424;0.05687378;0.94568765;0.17485933
425;0.05422222;0.95385958;0.17750165
426;0.05157067;0.96203151;0.18014398
427;0.04891911;0.97020344;0.1827863
428;0.04626755;0.97837538;0.18542862
429;0.04445066;0.98270832;0.18879018
430;0.04263377;0.98704127;0.19215175
431;0.04081688;0.99137421;0.19551331
432;0.03899999;0.99570715;0.19887488
433;0.03799284;0.99672313;0.20256548
434;0.03698569;0.99773911;0.20625608
435;0.03597853;0.99875508;0.20994668
436;0.03497138;0.99977106;0.21363728
437;0.03415797;0.99806647;0.21735452
438;0.03334455;0.99636188;0.22107177
439;0.03253114;0.99465729;0.22478901
440;0.03171772;0.9929527;0.22850625
441;0.03048898;0.98637289;0.23234081
442;0.02926025;0.97979307;0.23617537
443;0.02803151;0.97321326;0.24000992
444;0.02680277;0.96663344;0.24384448
445;0.02663432;0.9509183;0.2481714
446;0.02646586;0.93520317;0.25249833
447;0.02629741;0.91948803;0.25682525
448;0.02612895;0.90377289;0.26115218
449;0.02537172;0.88690908;0.26613735
450;0.02461448;0.87004527;0.27112253
451;0.02385724;0.85318147;0.27610771
452;0.0231;0.83631766;0.28109288
453;0.02269738;0.81732062;0.28646236
454;0.02229477;0.79832357;0.29183184
455;0.02189215;0.77932653;0.29720131
456;0.02148954;0.76032949;0.30257079
457;0.02050278;0.74324724;0.30805313
458;0.01951602;0.726165;0.31353547
459;0.01852926;0.70908275;0.31901781
460;0.0175425;0.69200051;0.32450014
461;0.01710688;0.67973574;0.33042298
462;0.01667125;0.66747096;0.33634581
463;0.01623562;0.65520619;0.34226864
464;0.0158;0.64294142;0.34819147
465;0.01538;0.62589477;0.35532871
466;0.01496;0.60884813;0.36246595
467;0.01454;0.59180148;0.36960319
468;0.01412;0.57475483;0.37674043
469;0.0136975;0.55921233;0.38536907
470;0.013275;0.54366982;0.39399771
471;0.0128525;0.52812731;0.40262636
472;0.01243;0.51258481;0.411255
473;0.0119975;0.49712226;0.4205242
474;0.011565;0.48165971;0.42979339
475;0.0111325;0.46619716;0.43906258
476;0.0107;0.45073462;0.44833177
477;0.0102875;0.43381707;0.46112821
478;0.009875;0.41689953;0.47392464
479;0.0094625;0.39998199;0.48672107
480;0.00905;0.38306445;0.4995175
481;0.0086285;0.36475821;0.50827596
482;0.008207;0.34645197;0.51703441
483;0.0077855;0.32814573;0.52579287
484;0.007364;0.30983949;0.53455132
485;0.0069415;0.2919841;0.54503669
486;0.006519;0.27412871;0.55552205
487;0.0060965;0.25627333;0.56600742
488;0.005674;0.23841794;0.57649279
489;0.00525182;0.22326151;0.5847351
490;0.00482965;0.20810508;0.59297741
491;0.00440747;0.19294865;0.60121971
492;0.00398529;0.17779222;0.60946202
493;0.00383406;0.16649354;0.61927939
494;0.00368282;0.15519486;0.62909675
495;0.00353159;0.14389619;0.63891411
496;0.00338035;0.13259751;0.64873147
497;0.00310196;0.12484377;0.65575549
498;0.00282358;0.11709004;0.66277951
499;0.00254519;0.10933631;0.66980353
500;0.0022668;0.10158257;0.67682755
501;0.0022001;0.09631217;0.68500656
502;0.0021334;0.09104177;0.69318557
503;0.0020667;0.08577137;0.70136458
504;0.002;0.08050098;0.70954359
505;0.0019335;0.07575226;0.71965383
506;0.001867;0.07100354;0.72976407
507;0.0018005;0.06625482;0.73987432
508;0.001734;0.0615061;0.74998456
509;0.00166725;0.05966813;0.75775167
510;0.0016005;0.05783016;0.76551879
511;0.00153375;0.05599219;0.7732859
512;0.001467;0.05415422;0.78105301
513;0.00140025;0.05155849;0.78890981
514;0.0013335;0.04896276;0.79676661
515;0.00126675;0.04636704;0.80462341
516;0.0012;0.04377131;0.81248021
517;0.0011335;0.04187296;0.81968094
518;0.001067;0.03997461;0.82688168
519;0.0010005;0.03807626;0.83408241
520;0.000934;0.03617791;0.84128314
521;0.00086725;0.03463091;0.85006073
522;0.0008005;0.0330839;0.85883832
523;0.00073375;0.03153689;0.86761591
524;0.000667;0.02998989;0.8763935
525;0.0006005;0.02786105;0.88481523
526;0.000534;0.02573222;0.89323697
527;0.0004675;0.02360338;0.9016587
528;0.000401;0.02147455;0.91008043
529;0.00033429;0.01958316;0.91739914
530;0.00026758;0.01769177;0.92471784
531;0.00020087;0.01580038;0.93203655
532;0.00013415;0.01390899;0.93935525
533;0.00010187;0.01251388;0.94419316
534;6.96E-05;0.01111877;0.94903106
535;3.73E-05;0.00972366;0.95386896
536;5.00E-06;0.00832856;0.95870686
537;1.58E-05;0.00721145;0.96153413
538;2.65E-05;0.00609434;0.9643614
539;3.72E-05;0.00497723;0.96718867
540;4.80E-05;0.00386012;0.97001594
541;3.60E-05;0.00311156;0.97366341
542;2.40E-05;0.002363;0.97731087
543;1.20E-05;0.00161444;0.98095833
544;0;0.00086588;0.98460579
545;0;0.00064941;0.98619844
546;0;0.00043294;0.98779109
547;0;0.00021647;0.98938374
548;0;0;0.99097639
549;0;0;0.99231727
550;0;0;0.99365816
551;0;0;0.99499904
552;0;0;0.99633992
553;0;0;0.99725494
554;0;0;0.99816996
555;0;0;0.99908498
556;0;0;1
557;0;2.22E-06;0.99998851
558;0;4.44E-06;0.99997702
559;0;6.66E-06;0.99996553
560;0;8.88E-06;0.99995405
561;0;2.10E-05;0.99664055
562;0;3.31E-05;0.99332705
563;0;4.52E-05;0.99001356
564;0;5.73E-05;0.98670006
565;0;4.79E-05;0.97652751
566;0;3.85E-05;0.96635497
567;0;2.90E-05;0.95618242
568;0;1.96E-05;0.94600987
569;0;1.47E-05;0.92844823
570;0;9.82E-06;0.91088659
571;0;4.91E-06;0.89332494
572;0;0;0.8757633
573;0;0;0.85267302
574;0;0;0.82958275
575;0;0;0.80649248
576;0;0;0.78340221
577;0;0;0.75792512
578;0;0;0.73244804
579;0;0;0.70697096
580;0;0;0.68149388
581;0;1.31E-07;0.6565344
582;0;2.62E-07;0.63157493
583;0;3.93E-07;0.60661545
584;0;5.24E-07;0.58165598
585;0;4.02E-07;0.55887823
586;0;2.81E-07;0.53610048
587;0;1.60E-07;0.51332273
588;0;3.90E-08;0.49054498
589;0;2.93E-08;0.47025306
590;0;1.95E-08;0.44996114
591;0;9.76E-09;0.42966922
592;0;0;0.40937731
593;0;0;0.39117999
594;0;0;0.37298267
595;0;0;0.35478535
596;0;0;0.33658803
597;0;1.50E-09;0.32027968
598;0;3.00E-09;0.30397134
599;0;4.50E-09;0.28766299
600;0;6.00E-09;0.27135465
601;0;4.50E-09;0.25727208
602;0;3.00E-09;0.24318951
603;0;1.50E-09;0.22910695
604;0;0;0.21502438
605;0;4.70E-11;0.20361481
606;0;9.40E-11;0.19220524
607;0;1.41E-10;0.18079566
608;0;1.88E-10;0.16938609
609;0;1.41E-10;0.1605978
610;0;9.40E-11;0.15180951
611;0;4.70E-11;0.14302123
612;0;0;0.13423294
613;0;7.45E-14;0.12747088
614;0;1.49E-13;0.12070881
615;0;2.24E-13;0.11394675
616;0;2.98E-13;0.10718469
617;0;2.24E-13;0.10179098
618;0;1.49E-13;0.09639727
619;0;7.45E-14;0.09100356
620;0;0;0.08560985
621;0;0;0.08120057
622;0;0;0.0767913
623;0;0;0.07238203
624;0;0;0.06797276
625;0;0;0.0643462
626;0;0;0.06071964
627;0;0;0.05709308
628;0;0;0.05346651
629;0;0;0.05042989
630;0;0;0.04739326
631;0;0;0.04435663
632;0;0;0.04132
633;0;0;0.03873958
634;0;0;0.03615916
635;0;0;0.03357874
636;0;0;0.03099832
637;0;0;0.02890182
638;0;0;0.02680532
639;0;0;0.02470882
640;0;0;0.02261232
641;0;0;0.0211074
642;0;0;0.01960249
643;0;0;0.01809757
644;0;0;0.01659266
645;0;0;0.01568696
646;0;0;0.01478127
647;0;0;0.01387557
648;0;0;0.01296988
649;0;0;0.01251404
650;0;0;0.01205821
651;0;0;0.01160237
652;0;0;0.01114654
653;0;0;0.01092903
654;0;0;0.01071151
655;0;0;0.010494
656;0;0;0.01027649
657;0;0;0.01013694
658;0;0;0.00999739
659;0;0;0.00985783
660;0;0;0.00971828
661;0;0;0.00958468
662;0;0;0.00945109
663;0;0;0.00931749
664;0;0;0.00918389
665;0;0;0.00904096
666;0;0;0.00889802
667;0;0;0.00875508
668;0;0;0.00861215
669;0;0;0.00845428
670;0;0;0.00829641
671;0;0;0.00813853
672;0;0;0.00798066
673;0;0;0.00779704
674;0;0;0.00761341
675;0;0;0.00742978
676;0;0;0.00724615
677;0;0;0.00704389
678;0;0;0.00684163
679;0;0;0.00663938
680;0;0;0.00643712
681;0;0;0.00626241
682;0;0;0.0060877
683;0;0;0.005913
684;0;0;0.00573829
685;0;0;0.0056622
686;0;0;0.00558612
687;0;0;0.00551004
688;0;0;0.00543395
689;0;0;0.00552368
690;0;0;0.00561341
691;0;0;0.00570314
692;0;0;0.00579287
693;0;0;0.00610725
694;0;0;0.00642162
695;0;0;0.00673599
696;0;0;0.00705036
697;0;0;0.00528777
698;0;0;0.00352518
699;0;0;0.00176259
700;0;0;0.00000000